,date,temps_enso,ghg_temp,aero_temp,nat_temp
0,1750.0,,0.0,0.0,0.0
12,1751.0,,-0.0010187519830773242,0.0,-0.00046091184926766964
24,1752.0,,-0.0022006233052406722,0.0,-0.0018843425949908827
36,1753.0,,-0.00259836726485976,-0.0005033841984843484,-0.003090032330879139
48,1754.0,,-0.003411303833510907,-0.0013763107415326124,-0.003996639383161409
60,1755.0,,-0.004531988485600847,-0.0020604059658109776,-0.034860617866399185
72,1756.0,,-0.005412435526660064,-0.0025970572825295226,-0.03993495447052852
84,1757.0,,-0.006105387220439504,-0.0030188607047098893,-0.018974064657854506
96,1758.0,,-0.006652282825054247,-0.003351202120741374,-0.011250805043387251
108,1759.0,,-0.007085395431773352,-0.0040975278882566454,-0.010624090712780403
120,1760.0,,-0.006896502779323005,-0.005182361961847464,-0.015255200085862569
132,1761.0,,-0.006198481995364718,-0.006036004053212642,-0.06035734065724382
144,1762.0,,-0.005656171982344932,-0.006708466936042451,-0.0765372865171502
156,1763.0,,-0.005236569990001561,-0.007239790901107083,-0.04512374834761406
168,1764.0,,-0.004912520007558433,-0.008128415491950222,-0.023260218385228612
180,1765.0,,-0.004662872974903998,-0.009343429613768136,-0.013062243786521698
192,1766.0,,-0.004010453300320344,-0.01030289828832175,-0.009685860631024333
204,1767.0,,-0.002983105095874187,-0.011061476811004665,-0.008038112683779566
216,1768.0,,-0.002179976445679436,-0.011663547909213054,-0.004569501988557704
228,1769.0,,-0.0015532928142909935,-0.012143677143020674,0.0002224138915609044
240,1770.0,,-0.0006156988018995516,-0.012977116098293844,0.00438478799353471
252,1771.0,,0.000649230088099962,-0.014170863039283445,0.006281164835060125
264,1772.0,,0.001641987647860551,-0.015118070827343432,0.002993122457953857
276,1773.0,,0.0024202101070732625,-0.01587065879477203,-0.0005165391351920289
288,1774.0,,0.003466955743129339,-0.01647160573267202,-0.0010353553926766062
300,1775.0,,0.004832999862771251,-0.016954383895117737,-0.0028088678964725312
312,1776.0,,0.005908670532276398,-0.017774469164958676,-0.005051060026007411
324,1777.0,,0.006755248799080189,-0.018978689085101735,-0.005892159733873335
336,1778.0,,0.007423367603786782,-0.019938988975341135,-0.006601045883312999
348,1779.0,,0.007952460120756455,-0.020705231239652743,-0.009211934159825136
360,1780.0,,0.008373237136673465,-0.021320253844725905,-0.01184053002444996
372,1781.0,,0.008709616434919184,-0.022231831381073347,-0.011291689931964206
384,1782.0,,0.008980225401637282,-0.023524253731672013,-0.008735856565900188
396,1783.0,,0.00960811984166737,-0.024558169463839225,-0.3047213106574445
408,1784.0,,0.010675168116034525,-0.02538519000037838,-0.467201956338635
420,1785.0,,0.01152479772554343,-0.026050976557913493,-0.20910911812957259
432,1786.0,,0.012598666393212901,-0.026591090622176083,-0.08990123922463489
444,1787.0,,0.014024366846019239,-0.02742932207154822,-0.03900470546941382
456,1788.0,,0.015551756579066269,-0.028683958405651876,-0.021752999581126628
468,1789.0,,0.01733949703167975,-0.02969392120947236,-0.018558217208967283
480,1790.0,,0.019147433571270328,-0.030505551105210835,-0.016152039115422248
492,1791.0,,0.021163254569647853,-0.03116259979575118,-0.01490043401066707
504,1792.0,,0.023147047515789762,-0.031699141710040235,-0.013655014607009023
516,1793.0,,0.02568724767726476,-0.03252035945275524,-0.013460421891331772
528,1794.0,,0.028297915463328095,-0.03378012345201885,-0.01950969470063795
540,1795.0,,0.03074479163921782,-0.03479946231610173,-0.021776622523194074
552,1796.0,,0.033281992014704186,-0.03562156643234242,-0.041216940023224215
564,1797.0,,0.03530319070369292,-0.03628992948605194,-0.05908839215529302
576,1798.0,,0.03727584582555887,-0.03720249952547451,-0.033294491076873343
588,1799.0,,0.03945473286600163,-0.038549326774781394,-0.02077909826186464
600,1800.0,,0.04195646457296426,-0.03964153208484923,-0.016024173919108833
612,1801.0,,0.045236818391212456,-0.04052359884692357,-0.018379431646051443
624,1802.0,,0.04821690650268107,-0.04124185975111593,-0.020647795700631088
636,1803.0,,0.051201167121767525,-0.041832399446061624,-0.01589577482355423
648,1804.0,,0.05358857958401269,-0.04266989906085675,-0.020625092632677533
660,1805.0,,0.05584146735743449,-0.043975000077812514,-0.028144389919532383
672,1806.0,,0.05826868185789452,-0.045041410132365504,-0.022279807590018266
684,1807.0,,0.0602273108770412,-0.0459063800686677,-0.017202377827221428
696,1808.0,,0.06180500888114593,-0.046614304240822295,-0.015593574296118426
708,1809.0,,0.06341897870059676,-0.047532948100121826,-0.23326828854424334
720,1810.0,,0.06535937757556537,-0.048913966608314256,-0.49545460006035064
732,1811.0,,0.06694511055548549,-0.05004627880332281,-0.33521427086759364
744,1812.0,,0.06823528841532338,-0.050965641925881884,-0.18835961776641022
756,1813.0,,0.06929502482253963,-0.05171898148964706,-0.10153684852171374
768,1814.0,,0.07017503160421355,-0.05234284397213303,-0.055823571507726356
780,1815.0,,0.07091480441689627,-0.053182939254249266,-0.3816076881245097
792,1816.0,,0.07123041348919294,-0.054517804088605994,-0.8541237108775873
804,1817.0,,0.07088377926556694,-0.05562070168742602,-0.6386865520099807
816,1818.0,,0.07064079815761222,-0.05651997880853814,-0.40356493121286297
828,1819.0,,0.07053451889254175,-0.05726048404915671,-0.224499654638371
840,1820.0,,0.07057284892145631,-0.0578771464466389,-0.11987231797014626
852,1821.0,,0.07065511599529896,-0.058697567616841397,-0.06513277326816605
864,1822.0,,0.0707684208869819,-0.06003295188993885,-0.04283568777795248
876,1823.0,,0.07090566360247091,-0.061142704278062815,-0.03502533956332076
888,1824.0,,0.07106131577729313,-0.06205006273180616,-0.03184642860371005
900,1825.0,,0.07123107302799261,-0.0627995914769495,-0.02985560235620032
912,1826.0,,0.07141158420319663,-0.06371374359258473,-0.02828376820251549
924,1827.0,,0.07160024052415953,-0.06513389626954938,-0.026590373709551647
936,1828.0,,0.07239080045441308,-0.06631625591756363,-0.02461503786313699
948,1829.0,,0.07446636785737576,-0.06728302696500997,-0.023285886426281086
960,1830.0,,0.07589732126324669,-0.06808167863989054,-0.022452062628687434
972,1831.0,,0.07632144748185885,-0.06874918105605575,-0.06213518351657646
984,1832.0,,0.07666490978457663,-0.06958766594567749,-0.14818088634579896
996,1833.0,,0.07698291949960943,-0.07096060301293258,-0.15260432044245356
1008,1834.0,,0.07728086614366474,-0.07211401299114957,-0.11268260054887101
1020,1835.0,,0.07756294822217132,-0.07306082315390747,-0.19685265497326968
1032,1836.0,,0.07783243667458636,-0.07384650210681014,-0.38236552268169177
1044,1837.0,,0.0780918800458327,-0.07476709667769856,-0.25431730763751526
1056,1838.0,,0.07834326427400079,-0.07621488997861085,-0.14116053225805614
1068,1839.0,,0.07858813713316175,-0.07743383938326735,-0.07759513388455508
1080,1840.0,,0.07908031943910819,-0.07843442984180862,-0.047641743013981566
1092,1841.0,,0.0802006154799482,-0.07926471803159829,-0.03477663359320717
1104,1842.0,,0.0814162568012556,-0.07996213169321827,-0.029102958308848445
1116,1843.0,,0.08310615816821047,-0.08080123147366572,-0.028605279761714616
1128,1844.0,,0.08476563368240025,-0.08219793326339839,-0.03033768161857866
1140,1845.0,,0.08704770646682622,-0.08338476414360685,-0.029446897304904844
1152,1846.0,,0.08986457681890418,-0.08436277622713627,-0.03035752726311414
1164,1847.0,,0.09286511197227869,-0.08517790431989716,-0.033625972737974165
1176,1848.0,,0.09557488476794004,-0.08586592370255007,-0.03305334284095875
1188,1849.0,,0.09875972333013061,-0.08668570103334744,-0.02817142862065129
1200,1850.0,-0.4078325951971603,0.10206643775450716,-0.0880780643388553,-0.025767868304309487
1212,1851.0,0.18516740480283966,0.10476639836381083,-0.08926990017869038,-0.03009850036466973
1224,1852.0,0.10916740480283968,0.10694234883199452,-0.09025417730778632,-0.02960119440207505
1236,1853.0,0.08016740480283965,0.10848698728526197,-0.09107654052977045,-0.02745936898034623
1248,1854.0,-0.20183259519716037,0.10905803700796661,-0.09199284682095912,-0.026068779107341764
1260,1855.0,0.27916740480283964,0.1095150503267176,-0.09346796163182275,-0.026452017679872167
1272,1856.0,0.3771674048028396,0.10993892320866333,-0.09473245993492795,-0.03494084582858688
1284,1857.0,-0.16583259519716034,0.11033666271903236,-0.09577588802520814,-0.11763448067565402
1296,1858.0,0.13716740480283968,0.11094866493266298,-0.09664686724295715,-0.17739512178352163
1308,1859.0,0.0011674048028396944,0.11207075137870984,-0.09738326525567519,-0.1335965524358875
1320,1860.0,0.022167404802839658,0.11237317031523927,-0.0982220434698197,-0.08517232708990866
1332,1861.0,-0.6448325951971603,0.11261266855094382,-0.09964500344170427,-0.05295310608555894
1344,1862.0,-0.5708325951971605,0.1128656286974154,-0.10087790905243088,-0.041306505792818346
1356,1863.0,0.22116740480283967,0.11312875661621435,-0.10189896143816667,-0.05804049530548807
1368,1864.0,-0.21783259519716028,0.11359839501114122,-0.10275473253583399,-0.05547397739018381
1380,1865.0,0.4581674048028397,0.11474507079983548,-0.10348149398652001,-0.04605044477843534
1392,1866.0,0.41916740480283965,0.11599168650473102,-0.10430166836145095,-0.037952085544548576
1404,1867.0,0.21716740480283966,0.11802125621349338,-0.10571839106223342,-0.03319649360624784
1416,1868.0,-0.1238325951971603,0.12047119482480043,-0.10695576515784902,-0.03170883948489721
1428,1869.0,0.15916740480283967,0.12271549276063962,-0.10798246377438765,-0.030401639363992178
1440,1870.0,0.0631674048028397,0.1254457337592726,-0.10884478801721607,-0.029368542511756517
1452,1871.0,-0.19083259519716037,0.12863136132189218,-0.1097622411906875,-0.0289434954003985
1464,1872.0,-0.10383259519716034,0.13199422128516333,-0.11126215309605468,-0.026187101194749877
1476,1873.0,0.031167404802839666,0.1351530061444409,-0.11257238262932734,-0.02722248470947095
1488,1874.0,0.12316740480283966,0.13922990626825943,-0.1136582195067504,-0.03076384441967105
1500,1875.0,-0.11983259519716036,0.14284036558011384,-0.11456898764157289,-0.03043802760895666
1512,1876.0,-0.031832595197160335,0.1464721769783096,-0.1153431020197046,-0.03124493313628504
1524,1877.0,0.14416740480283965,0.14947926306074819,-0.11618103482749506,-0.04190501936496467
1536,1878.0,0.3321674048028397,0.15210503728236216,-0.1176254976806991,-0.043066845904543356
1548,1879.0,0.23116740480283968,0.15505416198769018,-0.11890297155662212,-0.040023207438335325
1560,1880.0,-0.03883259519716034,0.1575464471823616,-0.11996533631153215,-0.03677518962046493
1572,1881.0,0.2581674048028397,0.159586875095437,-0.12085985264325524,-0.03340623886190141
1584,1882.0,0.4481674048028397,0.16143599372442474,-0.12162332875012735,-0.029704496777508655
1596,1883.0,-0.05883259519716036,0.16370484979451216,-0.12244374743545317,-0.032289091248651376
1608,1884.0,0.10516740480283968,0.16599731628582393,-0.12387934918321172,-0.15207846927090582
1620,1885.0,-0.32383259519716034,0.1694266524868585,-0.12516029268868245,-0.3401426321334254
1632,1886.0,-0.2878325951971603,0.17255969192344073,-0.12622734043392905,-0.25382371857303077
1644,1887.0,-0.5848325951971605,0.1759917908853706,-0.12712747528976714,-0.1909750288073143
1656,1888.0,0.0031674048028396407,0.17975677107984073,-0.12789728912755602,-0.15644812290568585
1668,1889.0,0.22516740480283967,0.18379948414056704,-0.12871335825806746,-0.12644070360790893
1680,1890.0,-0.10283259519716034,0.18812640485884097,-0.1301502953881991,-0.12058676878738551
1692,1891.0,-0.13483259519716032,0.1926099637819253,-0.13144259373522335,-0.14212641517968397
1704,1892.0,0.07416740480283965,0.19720714320613011,-0.13252040992521175,-0.1256358623115941
1716,1893.0,-0.5458325951971603,0.2018965011575019,-0.1334308473714879,-0.10453553581807369
1728,1894.0,-0.19283259519716037,0.20666018362200372,-0.1343491867606297,-0.06974693542121961
1740,1895.0,-0.1238325951971603,0.2113485145367166,-0.13586977869264055,-0.04474973537293339
1752,1896.0,0.13116740480283967,0.2153826177425861,-0.1372370719657306,-0.03373700995582604
1764,1897.0,0.17016740480283968,0.2193989667899804,-0.13837549737176494,-0.06860495985883337
1776,1898.0,0.18216740480283966,0.22291149679225697,-0.13933532994088352,-0.07752088880081728
1788,1899.0,0.12816740480283967,0.22666786201636052,-0.14015572557431963,-0.06864479156928778
1800,1900.0,-0.07183259519716031,0.2306699084753832,-0.1409953543091988,-0.052854014334157845
1812,1901.0,0.06116740480283969,0.23406443219574397,-0.14245686886193185,-0.04286366356390602
1824,1902.0,0.0631674048028397,0.23685518336526287,-0.14378991419449355,-0.03844690830631285
1836,1903.0,0.08616740480283966,0.23943463269300333,-0.14490347671540185,-0.09349087463484555
1848,1904.0,-0.31983259519716034,0.24326283765900572,-0.14584574687153687,-0.18997722669390937
1860,1905.0,0.007167404802839644,0.24739455482804923,-0.14677454698956957,-0.14443785219744143
1872,1906.0,0.005167404802839642,0.2511444235611205,-0.1483069949754888,-0.0950100846392372
1884,1907.0,-0.06683259519716031,0.255887636327896,-0.1497058636037402,-0.06599875301517664
1896,1908.0,-0.07483259519716032,0.2607524998291357,-0.1508727985324452,-0.061695731001781134
1908,1909.0,-0.43183259519716033,0.2650771985407352,-0.15185873429147148,-0.05841602849026654
1920,1910.0,-0.04783259519716035,0.27016210471986174,-0.1528148947177401,-0.04706388081807808
1932,1911.0,-0.33783259519716036,0.274689128478524,-0.15437090480556626,-0.04245232703777799
1944,1912.0,0.11516740480283966,0.2793493281994179,-0.15579868565749191,-0.039304640996434714
1956,1913.0,-0.18883259519716036,0.28484319771296374,-0.15699019720458976,-0.08430606711726912
1968,1914.0,0.3461674048028397,0.289819748457818,-0.1579973232008774,-0.09581419055605998
1980,1915.0,0.10616740480283968,0.2955305719725344,-0.15886047255856692,-0.07344042805328833
1992,1916.0,0.14916740480283966,0.3014184329311377,-0.15961111756549667,-0.05174039284767708
2004,1917.0,-0.32583259519716035,0.30789019448927696,-0.1602737706508953,-0.037612363846427785
2016,1918.0,-0.19083259519716037,0.3135362156811736,-0.16096597986858496,-0.028920999495065897
2028,1919.0,0.13716740480283968,0.3190704602885501,-0.16231726448935485,-0.023737967177609086
2040,1920.0,0.17016740480283968,0.32537623966839097,-0.1635995859575263,-0.024917470127112495
2052,1921.0,0.22516740480283967,0.33165336545898205,-0.16467872088161725,-0.04595599975266428
2064,1922.0,0.0641674048028397,0.3378135384763618,-0.16569070788198434,-0.04754164859439971
2076,1923.0,0.05716740480283969,0.3437320764347208,-0.1672934021732014,-0.041295920436968385
2088,1924.0,0.08916740480283966,0.3488042040210134,-0.16878084529832652,-0.03698320431543752
2100,1925.0,-0.07083259519716031,0.35380259606056935,-0.17010960429577046,-0.040549443056727
2112,1926.0,0.5791674048028397,0.3589733984193567,-0.17195899844601525,-0.03943195318353366
2124,1927.0,0.10916740480283968,0.36413577363591865,-0.17364796012074443,-0.03561491115070798
2136,1928.0,0.4621674048028397,0.36862985901839995,-0.17513240428079657,-0.02947551280382869
